舟山堂诗词稿目录　(1979.4─2020.8)
------------------------------------------------------------
(2) 五律•春游鳝溪　二首　　　　　　　　1979．⒋
　　　　五言·佛州劳德戴尔机场 (2015.03.21)
闲庭脚步急，空港人声嘶。躺椅斜身处，客旅快餐时。闹中能鼾睡，静处可深思。仄仄两三韵，平平几句诗。

　　　　五言·西安謠 (2016.05.14)
列代古都會，大唐不夜城。繁榮呈瑞色，舞樂頌平昇。跑馬青磚路，雄關長漏燈。帝王一統夢，秦俑兵馬坑。妃子深宫嘆，華清池水蒸。而今遺迹處，昔往锺鼓聲。佳肴無繁様，品茶有俊朋。盛朝傳人傑，時世出賢能。男兒多豪邁，巾幗盈彩丰。初識拼烈酒，談笑送新征。不作灞橋别，當歌事業成。相約西雅圖，旬日話重逢。




　　五言律诗六十二首

　　　　思远集

　　　　春游鳝溪 (1982.10)
常醉峰峦远，春寻黛绿踪。日柔风絮柳，天净岭雲松。幽谷逢花暖，青烟趁雾浓。鳝溪林木响，石径水溶溶。
　　　　其二
苔痕滑玉碧，溪浪断人声。日戏沉鱼影，辉滋浅草生。午炊香霭散，夕照水烟横。万顷铺新绿，千村缀早耕。

　　　　秋游青芝寺 (1982.10)
夜雨袭雲津，朝晖带露晨。闽江争早渡，轮港送寒滨。思远归山色，人低近水尘。但随鳞潜影，更喜绿如茵。
　　　　其二
江雾隐高树，深山隔远闻。坡前莓子雨，岭後枇杷雲。洞冷嶙石暗，泉流暖色分。晚亭闲古寺，落照日曛曛。

　　　　西湖 (1982.10)
日午径石瞑，榕荫草木宁。雲闲迷树影，水困睡湖萍。柳绿焦红倦，林深暑色青。香园空胜迹，远翠遮凉亭。
　　　　其二
愁雲渡雨阴，松阶响春霖。声断芭蕉碎，丝连水镜沉。泥香幽浸草，枝翠绿湿襟。欲去归無路，难融是此心。

　　　　西山集

　　　　秋怀 (1986.10)
野岭鸣蝉噪，晴秋踏翠薇。山空人独坐，树影鸟双飞。淡淡风雲健，青青柳竹晖。暖日催午梦，斜阳渐西归。

　　　　山中感赋 (1986.10)
熏风人倦倦，秋月草萋萋。雾聚青山秀，雲生野径迷。峰高仙去住，林暗鸟来栖。逝水勾留处，别情日落西。

　　　　夏日龙门涧道中 (1987.8)
闲来愁思绪，倦去渺风烟。过涧低石语，听雲枕日眠。松阴分暑色，野渡隔尘缘。遂有山林意，匆匆已忘年。

　　　　新春试笔 (1987.2)
冬雲寒欲雪，瑞气暖晴空。年夜花灯冷，除夕烟火红。银窗簪玉影，绿户粉香融。心阔争春意，襟长带晚风。

　　　　夜雨邀龚学士戏作 (1988.6)
夜已四更了，一看三点钟。轻轻窗外雨，剪剪耳边风。老恨蛙声乱，新愁睡意浓。明天考网络，心事两重重。

　　　　壬申新年赋笔 (1992.2)
感冬风渐暖，望霁雪消融。景物偏春色，繁华过眼穷。轻腰宽仔袖，淡脂点唇红。雲暗凝烟雨，香沉锁蜡龙。万家灯火夜，独对画屏空。漫漫星辰路，茫茫广寒宫。高楼醉明月，遥海渡苍穹。此地一窗影，如君想像同？

　　　　榕城留句 (1993.3)
雲气夹山色，春光近眼前。湖荫叠画影，船桨荡漪涟。松冷香惜玉，林昏绿浸烟。人约庭院後，雾起柳桥边。陋巷听风雨，高楼舞管弦。水滑蒸米软，酒润烩鱼鲜。梦里归乡路，醒时破晓天。谁识眉黛远，回首望渠田。

　　　　秋夜 (1994.10)
玉宇無尘阔，银河泻影重。夜深香霭散，风静晚庭空。门掩梨花院，楼遮两两松。相拥無片语，尽在不言中。
　　　　其二
高楼拥恋影，眸色暖心声。雲鬓厮磨久，缠绵耐鼓更。香腮红晕动，幽府暗潮生。今夜温存意，明天各远程。

　　　　离情 (1994.11)
寒空透晚襟，冷月照松林。密约期無据，柔情话渺音。梦从相思苦，泪向枕边侵。遥想多长叹，何时遣我心？
　　　　其二
西风逐客路，寒树望远平。落雪知春意，流雲忆暖情。恋花心有语，恨水见無凭。欲海迷茫处，谁人可共听？

　　　　客思 (1995.2)
苍绿冻新枝，离情苦病痴。天涯芳草路，北地雪风时。极目烟和雨，寒窗酒共诗。思君何所似，恩爱最相知。
　　　　其二
浮山溶晓雾，滴翠浴新痕。睹物伤春色，怀香忆故人。一江隔爱水，千里断红尘。诗意难高古，风情自有神。

　　　　秋风 (1995.11)
黄叶下深秋，西风万里愁。相思销瘦骨，对盏想凝眸。两地成孤旅，几时人复留？柔情如逝水，身世类虚舟。
　　　　其二
昨夜说分手，今生付水流。才抛离恨去，偏又想温柔。沧海情难再，巫山雨复收。江湖从此渡，天地一孤舟。

　　　　孤夜 (1995.11)
红纸护银蜡，淡雲笼月华。金钩挑帘帐，寒峭透窗纱。风冷荷霜冻，夜凉苔露滑。离枝筛乱影，愁绪远苍崖。
　　　　其二
轻均匀粉泪，乱挽起雲鬟。寂寞更漏永，相思衣带宽。梦中成双配，觉後影孤单。纵费今生苦，难熬此夜寒。
　　　　其三
风清月如霜，离愁似梦长。空虚情灭灭，失落意茫茫。万遍长吁叹，千回捣枕床。此生堪寂寞，今夜倍凄凉。
　　　　其四
相逢一场梦，恩怨几经年。薄幸人憔悴，多情我自怜。心中回倩影，镜里觅红颜。何日邀新宠，不留孤枕眠？
　　　　其五
春露小风寒，芳心曲意传。声声弹有语，暗暗恨無眠。枉费眉头苦，不堪影自怜。琼台听夜永，痴想寄情弦。

　　　　今夜 (2003.4)
此际耐端详，温柔似故乡。两情约海石，千古赋新章。携手听潮落，归来有月光。临窗分绿幔，对镜挽红妆。一笑能刻骨，百看不厌尝。明眸花扶醉，神采语飞扬。春困雲生倦，雷轻雨送凉。夜长星入梦，人暖枕留香。

　　　　夏威夷 (2003.5)
汪洋瞰郁葱，远岛望飞鸿。阔浪澄千里，鳞霞抹万重。兰溪繁异草，竹涧纳新风。深谷围香色，高崖摩碧穹。一峰忽热雨，七彩越长空。避世青山下，家藏绿岭中。晨晖花露暖，夕照海雲红。月上椰树影，潮平好梦浓。

　　　　五律·二月登高 (2006.2)
　　　　其一
驅車尋野徑，會友向麓東。景物四圍里，山湖一望中。
詩情暖詩意，無雨又無風。莫看冰封處，誰知是歲冬？
　　　　其二
松杉掩崖雪，古木映陽紅。時見鏡湖影，不聞飛鳥踪。
林深聼逺瀑，石隙踏橋空。人在青峰底，志凌摩壁穹。

　　　　五律·春日午後 (2006.6)
窗外阳光暖，分心绿色繁。纤雲看海阔，寂寞想诗园。
树影依风错，花容倦欲眠。遐思游兴盛，不是读书天。

　　　　五律·风雨 (2007.5)
一夕风雨恶，满院乱离枝。物醒因寒滞，冰消乍暖迟。
坚深雲蔽目，昏暗雾迷时。漫漫無边网，危危有所思。
人言诚可畏，天地本良知。烦恼由心起，宽怀放任之。
低俗流共赏，高义苦独持。宠辱惊非此，声名岂至斯？

　　　　五律·臘九賀辰 (2009.1)
生來秀水瞳，贈與嫵姿豐。
辰歲同星璨，詩情似愛濃。
大方惟謹慎，周密亦從容。
壽福如雙至，琳琅玉色重。

　　　　五律·冬月遠行二首 (2009.12)
　　　　一
晨星褪夜色，曉月染紅妝。求學人行早，奔波道路忙。迎来螢火炬，追去燈籠長。車快如奔馬，心飛向太陽。一山雲散雾，四野草成霜。忽過湾河港，時穿農牧莊。隆隆橋架影，潋潋水鳞光。萬物是非轉，猶疑在夢鄉。
　　　　二
日影穿林過，松苔挂枝梢。斑斓光怪兽，奇異綠精妖。霜落冬青葉，雪融春意條。如風如歌舞，似雨似花飄。空谷少琴唱，深山無采樵。天藍偎高樹，思靜遠塵潮。淡淡千年古，森森萬里霄。雲間無記憶，世外忘浮遥。

　　　　五律·夜寻 (2011.02.04)
　　　　博士班課後夜深難覓人影，後與周琳歸宿舍賦此雙韻長律，作於俄勒岡銀瀑州立公園木屋旅店。
林暗園聲靜，燈昏樹幹凝。夜涼霧濕徑，春暖雨融冰。聳聳森成岭，遙遙火半明。天高天似井，路遠路無螢。坐等時針定，恍惚鐘錶停。長思難去病，久候總關情。不歸人失應，獨行何所聽？急尋輕喚影，驚醒夜中靈。

　　　　五律·初夏西雅圖 (2014.06.19)
林溪聲汩汩，夏影舞翩翩。遠嶺猶積雪，深谷滿綠田。雲來晴間日，雨後彩虹天。避隱江湖久，當知此愛綿。

　　　　五律·湖山漫步寄相思 (2016.03.06)
湖山風帶暖，春月雨融冰。薄霧丹青意，愁雲水墨盈。家園方入夢，景物可傳情。獨立櫻花岸，遊思寄遠亭。雙城分隔夜，一詩念安平。筆落惜惜句，書成戀戀行。雖乏盟海誓，未忍諾言輕：天地無憂果，人間不老齡。

　　　　五律·週年紀念和周琳同題雙韻 (2017.09.23)
憶昔廿一載，初見期期艾。欽慕誠相待，扶持畫未來。惺惺無所怠，慰慰有諸懷。依賴人長在，詩情暖心齋。
　　　　附周琳原詩
當歲君及艾，明朝緣廿載。金風玉露來，好景佳琪待。倆倆總相懷，時時不倦怠。流年注心齋，惟愛能長在。
　　　　又　相見歡
悠悠二十餘年，似昨天。共享如荼人生，苦亦甜。花前下，塵影裏，在凡間。一路與君執手，不孤單。

　　　　五律·俄勒冈海滩 (2017.09.14)
大雾涤松绿，间晴映树桠。潮沖成阔岸，滔落见平沙。阵阵拍石浪，声声逐海崖。星河藏暗夜，灯塔落夕霞。

　　　　附周琳五言一首　2012.09.30
俄州海岸行，来寻黑草堆。夕阳无限美，跳起有影腿。掌飞落彤雲，脚踢向碉垒。太极八卦拳，看着就不对。海雾正迷茫，拖泥又带水。平时不锻炼，功夫不白给。
　　　　又：俄州海岸看夕霞
波特兰，飞车趋向南。锦衣杯影多靓女，点心美食让人馋。难忘是沙滩！




============================================================
　　　　外编

　　　　红楼集句 (1995.11)
腮笑春桃晕，唇含榴齿芳。蛾眉颦似语，莲步欲分行。美质冰清润，华服闪烁张。纤腰弱风舞，珠翠嫩鹅黄。松静生空谷，霞明映晚塘。冬梅绽晴雪，秋月射寒江。国色惭西子，天娇愧王嫱。瑶池时有宴，紫府羡無双。

　　　　留香集
　　古人云：闺房之中，有甚於画眉者。今揣摩其意，
　　拟以新声，并赠予所爱。

　　　　其一
勾肩雲半抱，抚背衽分撩。柔腻冰肌雪，香酥玉骨腰。薄纱轻乳晕，羞色暗鲛绡。枕上流莺语，梦中催暖潮。

　　　　其二
秋水红唇渡，轻纱解带邀。两峰夹秀色，深涧动春潮。浪底穿兰藻，枝头落杏桃。流连还忘返，星月共良宵。

　　　　其三
有爱常湿热，無声落暖巢。探香拆纽扣，磨骨褪丝袍。躁动鱼得水，欢合体似胶。红唇雲雨後，素手弄风骚。

　　　　其四
低吻腰身软，轻滑纽扣松。春怀摸历遍，热体混香浓。椒乳微揉损，樱唇久润红。两心情漾漾，一室雨融融。

　　　　其五
宽衣胸渐露，细语鬓相磨。腻枕香侵月，春心欲荡波。凝脂峰晕暗，柔骨艳情多。雲雨连娇喘，嘤嘤唤阿哥。

　　　　其六
娇颜添暖色，柔水荡花心。媚吐三分雪，羞藏点缀阴。苔滑熏腻软，枝颤动呻吟。香汗长余热，君恩久更深。

　　　　画帘
画帘低幕重，春夜两情融。衣带随发散，秋波因欲朦。短襟裁雪藕，长袜绕梧桐。玉乳生新柚，莲腰满月弓。晕痕羞色里，潮信暗阴中。狭谷藏津渡，幽丛探路通。深溪识水性，曲径觅桃红。薄汗香初透，温存雨後风。

　　　　春意
　　　　看《秘戏图考》，枕上赋得十六韵。
春意动情关，芳心系欲帆。明眸光似醉，檀齿气如兰。温润容华梦，娇羞体态仙。揽衣生锦簇，摘扣吐花团。初吻肌肤热，再摸天地旋。摩挲峰乳畔，拂柳晚风前。长发散幽馥，金沟掩画帘。荡胸存绮想，腻指探琴弦。玉涧清溪淌，琼台雨露沾。猛松临邃谷，急鸟下神田。色乱唇微绽，阴滑口乍翻。往来成浅隙，进退渐深宽。绯汗湿雲鬓，潮红透雪肩。委身龙宛转，抱颈凤缠绵。秀股齐舒举，纤腰尽畅欢。香泽鸾被里，恩爱枕席边。

　　　　相思
闺房深几重，情窦隐双峰。举袖香麝浅，倾身脂味浓。新交思雲雨，初见想仪容。留韵孤枕上，玉箫春梦中。

　　　　西厢
蜜语三更暖，莫留孤枕寒。莺俦催燕侣，意马纵心猿。热体情难耐，金沟望欲穿。风流一点汗，唇色夜偷残。

　　　　其二
妩媚好身材，温柔抱满怀。红唇思欲渴，檀口吻香腮。耳鬓金钗坠，胸衣玉佩歪。朝雲连暮雨，兰麝散幽斋。

　　　　春册集句三首
　　　　花前约
花暖香销夜，窗幽爱意融。春怀方撩乱，绿柳正阴浓。弱态初微拒，柔情已暗通。不是相思泪，湿透鲛绡重。

　　　　倦行雲
春风生绮帐，玉烛照兰房。鸾凤情無限，娇身兴欲狂。汗收雲雨散，力怯思飞扬。倦困拥湿热，殷勤拭腻香。

　　　　醉春宵
媚眼情熟热，红唇爱欲鲜。花团恣潇洒，锦被逞狂颠。伏枕香风动，支腰玉体绵。下冲生死地，上接快活天。来去同心路，磨合好月圆。浅深人莫问，雲雨景無边。不厌千回倦，再求一度穿。羡他没羽箭，偏是爱郎贪。

　　附词二首
　　　　临江仙·春风
艳日初长身正暖，解衣落展情芳。乳珠娇嫩散桃香。双双学戏水，携共试兰汤。　　玉股酥胸贴紧抱，消魂不顾残妆。鱼游春兴太颠狂。风光都占尽，滴露洒花房。

　　　　又
丽冶春风想同穴，别来枕上轻纱。裤裙羞褪似流霞。两条白玉腿，一朵牡丹花。　　浅入香唇逢褶皱，深行始觉路滑。孤独浪子又回家。恣情人困倦，遍体骨酥麻。

　　　　夜曲
竹抱石心暖，枝压花鬓偏。偷拆相思带，散落凤头铀。荷举滴新露，萍开枕睡莲。冰肌褪红晕，雪骨衬羞肩。翠被翻轻浪，丰姿展欲仙。融融灯自暗，楚楚意犹怜。欢爱难分舍，激情久缠绵。星眸無限媚，月夜不成眠。

　　　　美人
佩环声脆响，卷入一团娇。淡白梨花面，轻盈细柳腰。束装身段好，窄袖舞姿飘。晓雾梳雲鬓，新黄衬雪貂。闻香识雅韵，惊艳羡苗条。旖旎人倾慕，绰约魂暗销。秋波抛妩媚，夜色下琼瑶。唇动联浮想，心欢释寂寥。

　　　　集字四首·留赠
天赐有情分，赠君灵秀身。功名和利禄，牛鬼与蛇神。刻意知进取，锐心争上人。江湖交朋友，锋刃在舌唇。

　　　　又·飞雪
赠诗裁冻痕，寄语有情真。李杜文章在，盛唐雅韵存。玉为冰海魄，人是雪花神。敏思而好学，痴想亦销魂。

　　　　又·怀旧
赠句想昔年，遇合前世缘。封尘無岁月，自古有婵娟。雲影拂心乱，容光照我惭。健身轻秀发，余梦绕滇南。

　　　　又·送别
送目一帆去，乡思万里随。霓雲从此远，拍浪自崖回。立尽风中影，望极明月归。红颜博一笑，人事老病非。

　　　　無题
温存一段爱，赠与梦中人。绿水经春暖，朱颜动情深。长歌流永夜，小睡润新晨。鸳枕应惜玉，红尘已忘身。


　　　　右录詩詞二百一十三首
　　　　纱糸轩藏
